0,0,3,0
0,1,2,1
0,2,1,0
0,3,2,2
0,4,1,1
0,5,1,2
0,6,6,8
0,7,5,8
0,8,3,1
0,9,3,5
0,10,8,1
0,11,8,7
0,12,9,18
0,13,13,10
0,14,8,13
0,15,12,11
0,16,10,17
0,17,11,20
0,18,5,2
0,19,2,11
0,20,4,11
0,21,6,2
0,22,7,3
0,23,5,2
1,0,1,2
1,1,2,2
1,2,2,2
1,3,2,1
1,4,1,2
1,5,3,1
1,6,5,5
1,7,8,3
1,8,5,8
1,9,8,2
1,10,6,9
1,11,6,10
1,12,8,15
1,13,7,14
1,14,6,16
1,15,9,10
1,16,9,13
1,17,7,8
1,18,7,6
1,19,2,12
1,20,9,11
1,21,9,15
1,22,10,4
1,23,9,3
2,0,3,2
2,1,3,2
2,2,3,2
2,3,1,1
2,4,3,1
2,5,1,2
2,6,5,4
2,7,3,1
2,8,6,5
2,9,3,9
2,10,5,4
2,11,5,1
2,12,11,20
2,13,15,12
2,14,10,18
2,15,6,17
2,16,5,19
2,17,7,12
2,18,3,14
2,19,10,12
2,20,7,13
2,21,8,11
2,22,2,7
2,23,7,9
3,0,2,1
3,1,3,2
3,2,2,1
3,3,1,2
3,4,3,1
3,5,1,1
3,6,3,8
3,7,4,9
3,8,4,2
3,9,7,9
3,10,7,9
3,11,6,4
3,12,11,19
3,13,8,20
3,14,5,12
3,15,9,12
3,16,10,9
3,17,6,20
3,18,8,8
3,19,9,5
3,20,10,14
3,21,6,10
3,22,3,6
3,23,8,4
4,0,2,2
4,1,2,1
4,2,2,0
4,3,3,2
4,4,3,0
4,5,1,0
4,6,8,8
4,7,8,4
4,8,8,4
4,9,7,6
4,10,5,7
4,11,4,10
4,12,15,13
4,13,10,13
4,14,8,9
4,15,12,19
4,16,8,20
4,17,15,13
4,18,3,14
4,19,2,2
4,20,6,8
4,21,7,6
4,22,7,5
4,23,6,10
5,0,1,0
5,1,2,0
5,2,1,2
5,3,3,1
5,4,2,0
5,5,2,0
5,6,7,10
5,7,8,8
5,8,6,2
5,9,3,6
5,10,5,1
5,11,8,1
5,12,6,11
5,13,13,17
5,14,8,15
5,15,13,8
5,16,9,9
5,17,5,12
5,18,10,8
5,19,4,5
5,20,9,7
5,21,8,11
5,22,5,3
5,23,8,13
6,0,2,2
6,1,1,1
6,2,2,1
6,3,2,2
6,4,1,0
6,5,1,1
6,6,3,10
6,7,6,4
6,8,7,4
6,9,3,9
6,10,3,7
6,11,3,8
6,12,9,16
6,13,12,12
6,14,10,20
6,15,15,10
6,16,11,8
6,17,12,16
6,18,10,8
6,19,9,3
6,20,3,12
6,21,2,3
6,22,4,15
6,23,3,7
